City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,sao joao da barra,-21.6403,-41.0511,78.89,86,17,16.64,BR,1676068092
245,avera,33.194,-82.5271,63.91,73,100,5.73,US,1676068197
246,nelson bay,-32.7167,152.15,77.11,78,2,3.0,AU,1676068198
247,mitu,1.1983,-70.1733,77.22,93,98,2.37,CO,1676068198
248,ponta do sol,32.6667,-17.1,60.01,81,100,10.87,PT,1676068199
249,tazovskiy,67.4667,78.7,10.99,94,74,14.38,RU,1676068199
250,melendugno,40.2747,18.3368,37.49,93,100,4.61,IT,1676068200
251,santa cruz,-17.8,-63.1667,78.85,78,75,8.05,BO,1676068200
252,aleksandrov gay,50.147,48.5704,13.03,91,23,7.76,RU,1676068201
253,salisbury,51.0693,-1.7957,48.45,90,100,9.22,GB,1676068202
254,wenling,28.3669,121.36,48.9,91,87,2.77,CN,1676068203
255,geraldton,-28.7667,114.6,63.01,88,0,10.36,AU,1676068203
256,igarka,67.4667,86.5833,12.45,95,100,15.17,RU,1676068204
257,lasa,46.6166,10.7002,34.68,49,58,4.94,IT,1676068205
258,mukhen,48.1,136.1,7.09,96,98,2.42,RU,1676068206
259,lorengau,-2.0226,147.2712,78.89,85,100,6.35,PG,1676068207
260,dmanisi,41.5251,44.3472,17.58,93,99,2.75,GE,1676068208
261,granja,-3.1203,-40.8261,75.9,94,100,5.68,BR,1676068209
262,itarema,-2.9248,-39.9167,80.22,81,33,13.89,BR,1676068209
263,port augusta,-32.5,137.7667,73.31,55,0,11.74,AU,1676068210
264,abonnema,4.7084,6.7931,82.69,79,14,7.94,NG,1676068211
265,starokucherganovka,46.3248,47.9555,3.13,92,100,2.24,RU,1676068212
266,waingapu,-9.6567,120.2641,77.36,84,100,5.97,ID,1676068213
267,kirakira,-10.4544,161.9205,84.0,71,91,6.35,SB,1676068213
268,linxia,35.6003,103.2064,31.51,60,100,1.86,CN,1676068214
269,comodoro rivadavia,-45.8667,-67.5,82.26,18,0,24.16,AR,1676068215
270,ornskoldsvik,63.2909,18.7153,22.15,79,20,3.44,SE,1676068215
271,sept-iles,50.2001,-66.3821,13.05,87,100,11.5,CA,1676067921
272,danshui,22.7984,114.4672,65.48,90,100,7.2,CN,1676068216
273,kenora,49.8167,-94.4337,25.77,58,75,10.36,CA,1676068217
274,alma,48.5501,-71.6491,23.11,94,100,9.71,CA,1676068189
275,hofn,64.2539,-15.2082,36.23,82,94,6.42,IS,1676068218
276,kikwit,-5.041,18.8162,77.72,59,77,0.69,CD,1676068219
277,xacmaz,41.4635,48.806,31.75,72,78,1.97,AZ,1676068219
278,tucuman,-26.8241,-65.2226,89.6,51,20,3.44,AR,1676068220
